ID,year_,arrival_date,departure_date,tenure,young,mates,success_yn,latit,longit,present_next_year,present_previous_year,tarsus,wing,weight,hema,testo
127231920,2008,164,168,5,4,1,1,71.31842111,-156.6486111,0,0,29.60000038,144.5,99.69999695,NA,4997.51174
127231921,2008,164,181,18,0,0,0,71.32317286,-156.6700029,0,0,29.79999924,144,96.09999847,58.5,459.21937
127231922,2008,164,168,5,0,0,0,71.31836333,-156.6628183,0,0,28.79999924,146,100.3000031,58.5,5662.13832
127231923,2008,165,185,21,12,2,1,71.32113361,-156.6592292,0,0,29.20999908,142.5,94.30000305,55.75,5056.53284
127231924,2008,165,186,22,0,0,0,71.32324286,-156.666099,0,0,29.55999947,143.5,95.5,62,7740.02277
127231925,2008,165,165,1,0,0,0,71.3224,-156.6711,0,0,28.62999916,140,103.5,NA,4873.71135
127231926,2008,166,167,2,0,0,0,71.32205,-156.660265,0,0,29.11000061,150,111.4000015,58.75,1265.82092
127231927,2008,166,185,20,1,1,1,71.32372,-156.6655228,0,0,29.07999992,144,98.59999847,59.33,2266.92882
127231928,2008,167,181,15,3,1,1,71.32282222,-156.6577944,0,0,28.54999924,143,103,66,28720.59839
127231929,2008,167,169,3,0,0,0,71.322235,-156.6544725,1,0,29.12000084,146,104.4000015,60,5468.73855
127231929,2009,162,162,1,0,0,0,71.31931,-156.6474,0,1,29.85000038,147.5,121.1999969,66,11480.73763
127231930,2008,167,171,5,1,1,1,71.32273667,-156.6489878,0,0,29.46999931,145,99.69999695,63.75,4268.40434
127231931,2008,168,175,8,0,0,0,71.32032133,-156.6563473,0,0,28,144.5,98.59999847,65.5,1925.89485
127231932,2008,168,168,1,0,0,0,71.32398,-156.64941,0,0,26.5,141,91,60,4315.21587
127231933,2008,168,175,8,0,0,0,71.319488,-156.647158,0,0,29.29999924,145.5,105,64.5,10477.2215
127231934,2008,168,175,8,4,1,1,71.32071094,-156.6500694,0,0,29.70000076,147,102,65.75,1983.48872
127231935,2008,168,189,22,0,0,0,71.32300727,-156.6692064,1,0,28,143,99.59999847,62,9680.55963
127231936,2008,170,174,5,0,0,0,71.313368,-156.652772,0,0,28.54000092,145,103.5,57,4048.247
127231937,2008,170,170,1,4,1,1,71.31508,-156.6548,0,0,28.04000092,145,101.1999969,60.5,2957.33687
127231938,2008,170,180,11,0,0,0,71.31836778,-156.6488315,0,0,29.75,141,96.30000305,59.83,1959.39481
127231939,2008,170,181,12,0,0,0,71.32217333,-156.6602433,0,0,29.29999924,144,96.09999847,61.25,185.34867
127231940,2008,170,174,5,0,0,0,71.3182225,-156.6454031,0,0,28,143,95.5,61.5,645.19618
127231941,2008,170,175,6,4,1,1,71.3215475,-156.6424225,0,0,29.5,143,98.59999847,59.5,3537.96902
127231942,2008,171,172,2,4,1,1,71.31383333,-156.6554767,0,0,27.52000046,148,101.5,NA,1133.67115
127231943,2008,171,171,1,0,0,0,71.32203,-156.6738,0,0,29.87999916,143,99.69999695,NA,5470.92101
127231944,2008,172,174,3,0,0,0,71.31406,-156.650025,0,0,29.5,146,103.8000031,57,6924.92833
127231945,2008,172,176,5,4,1,1,71.315708,-156.649724,0,0,30.39999962,145,109,56.5,1888.60277
127231946,2008,172,190,19,0,0,0,71.31858286,-156.6464229,0,0,29.95000076,138,121.1999969,65,21196.73548
127231947,2008,172,181,10,5,2,1,71.321115,-156.642315,0,0,27,149,107.4000015,62,391.12262
127231948,2008,172,179,8,0,0,0,71.322542,-156.659062,0,0,30.29999924,146.5,102.9000015,59.25,446.787
127231949,2008,172,187,16,0,0,0,71.32217583,-156.6516558,0,0,28.29999924,147,92.69999695,60,5890.27912
